track,test_session,condition,n_laps,mean_p90,median_p90,mean_median_err,mean_jump
track-002,LO_s001,cross_drone,6,7.062684195187205,6.616608396375033,1.6988339380067508,0.028515458998123827
track-002,MT_s001,same_drone,4,8.897048576871207,7.762759882988757,1.7980730947879326,0.043362214579336054
track-002,MT_s003,same_drone,13,32.80007547641004,16.926524925073863,2.402113937744868,0.11273106860729122
track-002,MT_s004,same_drone,15,15.022285922773811,8.654668985155835,1.8403680203511992,0.057154440514040845
track-003,LO_s001,cross_drone,4,18.085163402795978,17.03661820484765,2.032575950604455,0.1043117771979929
track-003,LO_s002,cross_drone,5,30.15035936185144,30.559343172234406,2.3589895510662244,0.15501974788924539
track-003,MT_s001,same_drone,9,40.6146621079723,47.22691641562113,2.2214681546782717,0.19565279981397388
track-003,MT_s002,same_drone,11,67.55012026418682,66.28747164609062,4.121214097786147,0.3412832447681262
track-003,MT_s003,same_drone,5,19.379097958352794,12.141244490820899,1.8033781134634352,0.09880084338651429
track-004,MT_s001,same_drone,4,28.600265177316153,15.154637816935498,2.300512451649693,0.10605875322347424
track-004,MT_s002,same_drone,2,8.112452030337636,8.112452030337636,1.7465268684306317,0.05353262797163402
track-004,MT_s003,same_drone,4,9.536197964308819,8.45751085358025,1.6108980640159087,0.07293170106938252
track-004,MT_s004,same_drone,3,4.772801206648213,4.729539159700456,1.293190612696448,0.0002817695125387433
track-004,MT_s005,same_drone,6,9.090187198634728,7.451636287401383,1.3653557880760339,0.05919281747360627
track-004,MT_s006,same_drone,6,11.210410972583071,5.550863523271445,1.3882869710306913,0.04575274307075009
