track,test_session,obs_sigma,pnv,n_test_laps,mean_p90,median_err,jump_rate
track-003,MT_s002,1.0,4.0,11,90.79669440298072,20.96773810357464,0.5268050399730458
track-003,MT_s002,1.0,8.0,11,89.18237520931552,11.201597351524587,0.45916566865185227
track-003,MT_s002,1.0,16.0,11,93.61184719009565,14.537388483964099,0.4785010657226655
track-003,MT_s002,2.0,4.0,11,61.1774254387576,6.168685009144252,0.3072663160007231
track-003,MT_s002,2.0,8.0,11,67.55012026418682,4.121214097786147,0.3412832447681262
track-003,MT_s002,2.0,16.0,11,73.82080890359073,3.6601113031765165,0.3242653363050914
track-003,MT_s002,4.0,4.0,11,7.693818114166677,2.2850092614615405,0.026009517178383332
track-003,MT_s002,4.0,8.0,11,6.726789334243054,2.0352497109447856,0.02333037365625591
track-003,MT_s002,4.0,16.0,11,11.104023579474743,2.213667684068324,0.0715812508278336
track-004,MT_s006,1.0,4.0,6,76.72407079700288,4.695867407904942,0.3467492068307247
track-004,MT_s006,1.0,8.0,6,71.34058563360323,3.5584521922183696,0.2966685710792461
track-004,MT_s006,1.0,16.0,6,68.0948949987814,3.288384160678364,0.2782908423991108
track-004,MT_s006,2.0,4.0,6,8.453866925657168,1.602228391215957,0.04364527351390224
track-004,MT_s006,2.0,8.0,6,11.210410972583071,1.3882869710306913,0.045752743070750106
track-004,MT_s006,2.0,16.0,6,7.120609462248267,1.3677539837799797,0.03706046633308614
track-004,MT_s006,4.0,4.0,6,6.637582225381771,2.194214111140454,0.011189917735980113
track-004,MT_s006,4.0,8.0,6,6.349274178773986,2.090737457261974,0.009168047239686084
track-004,MT_s006,4.0,16.0,6,6.380043441076566,1.978793703849231,0.01058615285682
