track,test_session,test_drone,condition,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
track-002,MT_s004,MadTrainer,same_drone,5,5,2530,25.401978969573975,1.8716279421052064,6.385759853676891,0.0071146245059288534
track-002,MT_s004,MadTrainer,same_drone,6,6,2525,25.403844833374023,1.9008430498026563,8.654668985155835,0.0297029702970297
track-002,MT_s004,MadTrainer,same_drone,7,7,2722,27.329137802124023,1.885719455349797,9.937973716922809,0.08706833210874357
track-002,MT_s004,MadTrainer,same_drone,8,8,2312,23.212925910949707,1.348793246346979,9.162798142922734,0.022058823529411766
track-002,MT_s004,MadTrainer,same_drone,9,9,2312,23.21662998199463,1.4007440827174413,13.938700606850878,0.08823529411764706
track-002,MT_s004,MadTrainer,same_drone,10,10,2346,23.52618908882141,2.1448650432828344,7.94936055936914,0.04219948849104859
track-002,MT_s004,MadTrainer,same_drone,11,11,2666,26.786911964416504,2.4729450361706,82.0466611233524,0.15941485371342837
track-002,MT_s004,MadTrainer,same_drone,12,12,2344,23.593735933303833,1.5991680213792847,5.246084599967205,0.0
track-002,MT_s004,MadTrainer,same_drone,13,13,2307,23.15007710456848,1.3116095561595102,6.048349512320676,0.014304291287386216
track-002,MT_s004,MadTrainer,same_drone,14,14,2625,26.3830509185791,2.1683440396139133,12.328160538465537,0.08304761904761905
track-002,MT_s004,MadTrainer,same_drone,15,15,2334,23.44292402267456,1.4769034871083946,7.3938650179140275,0.03513281919451585
track-002,LO_s001,LiftOff_200,cross_drone,1,1,2516,25.26086401939392,1.7972656326579681,5.825605009606159,0.02424483306836248
track-002,LO_s001,LiftOff_200,cross_drone,2,2,2490,25.02094602584839,1.4485279085661702,6.590582872813273,0.0
track-002,LO_s001,LiftOff_200,cross_drone,3,3,2577,25.9479341506958,1.583399948806342,7.86393053899125,0.05199844780752813
track-002,LO_s001,LiftOff_200,cross_drone,4,4,2353,23.624861001968384,1.928858510869503,9.375943505572803,0.07224819379515512
track-002,LO_s001,LiftOff_200,cross_drone,5,5,2443,24.526942014694214,1.4197454675174015,6.07740932420295,0.0
track-002,LO_s001,LiftOff_200,cross_drone,6,6,2345,23.54997706413269,2.015206159623119,6.6426339199367925,0.022601279317697228
track-003,MT_s001,MadTrainer,same_drone,1,1,2403,24.11902904510498,1.3597755033523242,4.883119812027095,0.004577611319184353
track-003,MT_s001,MadTrainer,same_drone,2,2,2399,24.07281994819641,1.663056981288861,7.761593938534852,0.0633597332221759
track-003,MT_s001,MadTrainer,same_drone,3,3,2509,25.18310308456421,2.5814332831050706,34.22269208916469,0.2136309286568354
track-003,MT_s001,MadTrainer,same_drone,4,4,2379,23.870803833007812,2.7907207947913832,36.67275279725006,0.22488440521227407
track-003,MT_s001,MadTrainer,same_drone,5,5,2395,24.11316990852356,2.818080344849051,105.16096499387139,0.31816283924843425
track-003,MT_s001,MadTrainer,same_drone,6,6,2267,22.73725199699402,1.1764356546545542,6.213800344101656,0.05205116894574327
track-003,MT_s001,MadTrainer,same_drone,7,7,2425,24.351916074752808,1.7919101137664768,31.36640959098191,0.15216494845360826
track-003,MT_s001,MadTrainer,same_drone,8,8,2294,23.01885485649109,2.636131476710439,55.24667853927503,0.2829119442022668
track-003,MT_s001,MadTrainer,same_drone,9,9,2449,24.59890604019165,3.307859676085428,75.53890010190412,0.3352388730093916
track-003,MT_s001,MadTrainer,same_drone,10,10,2271,22.80271816253662,1.8106186259771277,71.13302950292982,0.13826508146191105
track-003,LO_s001,LiftOff_200,cross_drone,1,1,2281,22.887941122055054,2.9246405702345726,62.60139586008947,0.2884699693117054
track-003,LO_s001,LiftOff_200,cross_drone,2,2,2135,21.443679809570312,2.609538212081503,48.06155305642678,0.2608899297423888
track-003,LO_s001,LiftOff_200,cross_drone,3,3,2162,21.7217378616333,1.6082907782294598,19.6558290631459,0.10962072155411656
track-003,LO_s001,LiftOff_200,cross_drone,4,4,2277,22.943038940429688,2.561498719401623,38.527608477249146,0.21431708388230128
track-003,LO_s001,LiftOff_200,cross_drone,5,5,2164,21.706779956817627,2.321622707385769,25.70110373328053,0.14463955637707948
track-004,MT_s001,MadTrainer,same_drone,1,1,2569,25.81599712371826,1.9780442123159219,15.799006679454696,0.10393149085247178
track-004,MT_s001,MadTrainer,same_drone,2,2,2464,24.73600196838379,1.7338211542671473,7.7683737744291,0.05438311688311688
track-004,MT_s001,MadTrainer,same_drone,3,3,2446,24.55680012702942,1.9615360760908302,6.768899778289981,0.020850367947669663
track-004,MT_s001,MadTrainer,same_drone,4,4,2513,25.229079961776733,3.1261171627207602,73.35854389252418,0.19578193394349383
track-004,MT_s001,MadTrainer,same_drone,5,5,2453,24.645817041397095,2.4085424492815903,8.616766688705027,0.03995108030982471
track-004,MT_s002,MadTrainer,same_drone,1,1,2393,24.012054920196533,1.0914277625858944,3.642585984316424,0.0
track-004,MT_s002,MadTrainer,same_drone,2,2,2414,24.23090100288391,1.5326023608743924,5.599722049502994,0.03355426677713339
track-004,MT_s002,MadTrainer,same_drone,3,3,2406,24.21588897705078,1.3880029402885867,3.926366240478842,0.006650041562759767
track-004,MT_s003,MadTrainer,same_drone,1,1,2331,23.453840970993042,1.4400343418711827,5.256354666815355,0.013299013299013299
track-004,MT_s003,MadTrainer,same_drone,2,2,2347,23.562101125717163,1.382534131164192,4.899477190246178,0.013634426927993182
track-004,MT_s003,MadTrainer,same_drone,3,3,2350,23.618802070617676,1.2324742020170003,5.96647274463699,0.04212765957446808
track-004,MT_s003,MadTrainer,same_drone,4,4,2445,24.55002498626709,2.0595887418199403,8.796162421891271,0.06748466257668712
track-004,MT_s003,MadTrainer,same_drone,5,5,2324,23.33957600593567,1.3864101832091116,5.118304977341561,0.01333907056798623
track-004,MT_s004,MadTrainer,same_drone,1,1,2257,22.676773071289062,0.919381570500164,2.362205609298979,0.0
track-004,MT_s004,MadTrainer,same_drone,2,2,2277,22.866880893707275,1.0205237490147567,3.277160617107728,0.0
track-004,MT_s004,MadTrainer,same_drone,3,3,2290,23.007908821105957,1.3026148931473749,3.64397820001715,0.0
track-004,MT_s004,MadTrainer,same_drone,4,4,2366,23.807805061340332,1.2846586381021865,6.035390142274139,0.038461538461538464
track-004,MT_s005,MadTrainer,same_drone,1,1,2238,22.51285481452942,1.5303122030343985,6.342078385087229,0.0
