epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,514.674,1.01056,2.38741,0.49033,0.69391,0.95207,0.5919,0.82966,0.71435,0.37126,0.64238,0.89902,0.81678,0.42875,1.44511,2.14108,0.41868,1.15614,1.14956,0.0009704,0.0009704,0.0009704
28,532.854,1.03739,2.71851,0.48195,0.74188,0.95932,0.62994,0.85714,0.79935,0.4028,0.62994,0.85714,0.79935,0.45796,1.40918,2.17355,0.4176,1.09104,1.08979,0.0009308,0.0009308,0.0009308
29,550.606,0.97095,2.36519,0.48596,0.71554,0.94668,0.88557,0.55434,0.78297,0.43073,0.88557,0.55434,0.78297,0.46732,1.35353,2.24014,0.41109,1.12389,1.07667,0.0008912,0.0008912,0.0008912
30,568.547,1.04352,2.44092,0.46709,0.6877,0.94656,0.71828,0.72925,0.7914,0.38939,0.71828,0.72925,0.7914,0.49457,1.42498,2.17897,0.40311,1.0923,1.068,0.0008516,0.0008516,0.0008516
31,585.875,1.02921,2.37207,0.4649,0.70034,0.96261,0.7585,0.85714,0.83108,0.40947,0.7585,0.85714,0.83108,0.49536,1.39435,2.05832,0.3961,0.99851,1.06886,0.000812,0.000812,0.000812
32,603.997,1.00904,2.19927,0.45669,0.67065,0.95877,0.70688,0.78571,0.81178,0.46231,0.70688,0.78571,0.81178,0.51196,1.31013,1.94452,0.39268,0.99876,1.06709,0.0007724,0.0007724,0.0007724
33,621.981,0.98831,2.26681,0.42544,0.67649,0.92199,0.70318,0.78571,0.80083,0.45882,0.70318,0.78571,0.80083,0.52691,1.32637,1.90288,0.38696,1.01297,1.10628,0.0007328,0.0007328,0.0007328
34,641.072,0.93588,2.03901,0.44251,0.63922,0.904,0.60329,0.78571,0.79657,0.43106,0.60329,0.78571,0.79657,0.48837,1.39723,1.8392,0.38032,1.01994,1.12342,0.0006932,0.0006932,0.0006932
35,659.135,0.9488,2.20299,0.44444,0.67281,0.94717,0.61309,0.79262,0.80003,0.43588,0.61309,0.79262,0.80003,0.47508,1.35445,1.76923,0.37923,0.9728,1.11724,0.0006536,0.0006536,0.0006536
36,677.472,0.93161,2.14755,0.42422,0.65587,0.94017,0.67061,0.78571,0.80392,0.47204,0.67061,0.78571,0.80392,0.50881,1.32269,1.76093,0.37308,0.93038,1.11536,0.000614,0.000614,0.000614
37,695.175,0.95114,2.02723,0.43813,0.6451,0.92098,0.87227,0.64286,0.83044,0.48169,0.87227,0.64286,0.83044,0.55149,1.30076,1.72067,0.36325,0.8309,1.13535,0.0005744,0.0005744,0.0005744
38,714.127,0.86064,1.9079,0.41241,0.61249,0.88509,0.76431,0.69601,0.83804,0.47571,0.76431,0.69601,0.83804,0.54614,1.30718,1.67687,0.35169,0.87018,1.15506,0.0005348,0.0005348,0.0005348
39,736.579,0.9298,2.05801,0.41669,0.63691,0.92469,0.76245,0.68909,0.82235,0.44483,0.76245,0.68909,0.82235,0.51882,1.33637,1.68341,0.34259,0.9659,1.16749,0.0004952,0.0004952,0.0004952
40,761.36,0.89228,1.91303,0.39908,0.61057,0.90303,0.61637,0.92857,0.82874,0.46155,0.61637,0.92857,0.82874,0.52348,1.31679,1.64272,0.33834,0.94161,1.15951,0.0004556,0.0004556,0.0004556
41,788.65,0.86105,1.78527,0.33733,0.62046,0.88489,0.8615,0.71429,0.85089,0.49337,0.8615,0.71429,0.85089,0.59856,1.27778,1.52226,0.33671,0.90784,1.13276,0.000416,0.000416,0.000416
42,811.889,0.81737,1.65316,0.33864,0.5787,0.86906,0.87962,0.71429,0.85873,0.51966,0.87962,0.71429,0.85873,0.61827,1.27069,1.58645,0.33643,0.90393,1.12214,0.0003764,0.0003764,0.0003764
43,835.747,0.85002,1.71514,0.34409,0.59769,0.88887,0.8867,0.71429,0.859,0.51911,0.8867,0.71429,0.859,0.62733,1.24883,1.55575,0.33289,0.8438,1.11561,0.0003368,0.0003368,0.0003368
44,861.459,0.83017,1.69825,0.32982,0.57332,0.86766,0.75254,0.78571,0.86589,0.51575,0.75254,0.78571,0.86589,0.62136,1.19933,1.43304,0.32834,0.78831,1.09331,0.0002972,0.0002972,0.0002972
45,884.77,0.80853,1.66087,0.33033,0.55975,0.85507,0.76028,0.90707,0.86356,0.52982,0.76028,0.90707,0.86356,0.63097,1.16277,1.39492,0.32412,0.75563,1.08432,0.0002576,0.0002576,0.0002576
46,909.1,0.76982,1.60966,0.33136,0.53621,0.85386,0.76079,0.90953,0.85695,0.52657,0.76079,0.90953,0.85695,0.63935,1.16437,1.36023,0.32199,0.76307,1.08441,0.000218,0.000218,0.000218
47,934.226,0.85652,1.67801,0.32895,0.57574,0.88223,0.75678,0.89007,0.85252,0.51748,0.75678,0.89007,0.85252,0.64246,1.18293,1.35596,0.32111,0.76391,1.08669,0.0001784,0.0001784,0.0001784
48,958.074,0.76439,1.56808,0.32029,0.53075,0.85591,0.74585,0.85714,0.84632,0.5269,0.74585,0.85714,0.84632,0.62385,1.21221,1.3861,0.31824,0.76979,1.08923,0.0001388,0.0001388,0.0001388
49,995.699,0.75558,1.59919,0.32851,0.52043,0.85868,0.74672,0.84307,0.84679,0.52258,0.74672,0.84307,0.84679,0.63014,1.23171,1.39531,0.31781,0.79248,1.08591,9.92e-05,9.92e-05,9.92e-05
50,1020.01,0.74975,1.62322,0.33911,0.54139,0.86851,0.73421,0.85714,0.85306,0.53001,0.73421,0.85714,0.85306,0.63808,1.24078,1.51475,0.31898,0.80647,1.08815,5.96e-05,5.96e-05,5.96e-05
