flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.0,3,2509,25.22,3.157,95.794,0.287
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.0,4,2597,26.06,3.208,45.334,0.1775
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.0,5,2477,24.86,6.524,90.78,0.413
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.5,3,2509,25.22,1.663,12.165,0.0905
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.5,4,2597,26.06,1.686,7.213,0.0389
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.5,5,2477,24.86,1.874,8.152,0.0287
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.0,3,2509,25.22,4.694,59.59,0.3077
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.0,4,2597,26.06,1.5,12.734,0.0859
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.0,5,2477,24.86,2.708,14.939,0.0981
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.5,3,2509,25.22,2.483,12.762,0.0737
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.5,4,2597,26.06,1.453,6.004,0.0166
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.5,5,2477,24.86,1.756,13.596,0.0739
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.0,3,2509,25.22,4.912,96.395,0.3025
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.0,4,2597,26.06,1.83,12.643,0.0836
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.0,5,2477,24.86,3.413,36.47,0.1772
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.5,3,2509,25.22,2.075,10.431,0.045
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.5,4,2597,26.06,1.519,7.649,0.0166
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.5,5,2477,24.86,2.237,18.752,0.1239
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.0,3,2509,25.22,10.134,133.173,0.4297
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.0,4,2597,26.06,5.08,90.662,0.2811
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.0,5,2477,24.86,19.545,106.343,0.5628
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.5,3,2509,25.22,5.611,95.088,0.322
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.5,4,2597,26.06,3.907,46.593,0.1775
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.5,5,2477,24.86,6.768,41.692,0.3197
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.0,4,2364,23.64,1.964,13.492,0.0922
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.0,5,2455,24.54,1.763,30.856,0.1483
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.0,6,2357,23.56,2.692,92.06,0.2749
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.5,4,2364,23.64,1.855,34.312,0.1413
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.5,5,2455,24.54,1.399,27.839,0.1479
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,baseline,1.5,6,2357,23.56,2.245,100.659,0.2932
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.0,4,2364,23.64,2.858,47.376,0.206
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.0,5,2455,24.54,1.27,8.839,0.0697
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.0,6,2357,23.56,2.722,113.384,0.305
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.5,4,2364,23.64,1.892,25.797,0.1379
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.5,5,2455,24.54,1.429,11.464,0.0603
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,no_thr,1.5,6,2357,23.56,2.397,53.017,0.2138
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.0,4,2364,23.64,6.355,115.113,0.338
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.0,5,2455,24.54,62.49,120.437,0.7735
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.0,6,2357,23.56,25.724,112.203,0.5575
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.5,4,2364,23.64,5.33,112.385,0.4247
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.5,5,2455,24.54,8.409,113.923,0.402
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R,1.5,6,2357,23.56,9.428,107.058,0.4671
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.0,4,2364,23.64,2.308,35.748,0.1569
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.0,5,2455,24.54,1.377,19.491,0.1418
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.0,6,2357,23.56,2.118,64.769,0.221
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.5,4,2364,23.64,2.037,24.573,0.1349
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.5,5,2455,24.54,1.38,15.706,0.1026
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Y+P+2R,1.5,6,2357,23.56,2.064,12.068,0.0878
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.0,4,2364,23.64,2.29,34.769,0.1954
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.0,5,2455,24.54,1.366,79.119,0.2346
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.0,6,2357,23.56,2.229,62.299,0.2397
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.5,4,2364,23.64,2.708,81.378,0.2297
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.5,5,2455,24.54,1.129,17.057,0.1088
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,R+Y_only,1.5,6,2357,23.56,1.533,22.277,0.1409
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.0,4,2364,23.64,2.961,111.652,0.2724
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.0,5,2455,24.54,9.683,119.441,0.4367
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.0,6,2357,23.56,6.097,104.917,0.3148
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.5,4,2364,23.64,2.15,62.232,0.1925
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.5,5,2455,24.54,2.054,45.302,0.2138
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+P+R,1.5,6,2357,23.56,1.891,19.245,0.1303
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,4,2364,23.64,2.076,40.549,0.129
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,5,2455,24.54,2.341,93.05,0.2611
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,6,2357,23.56,2.936,66.072,0.3161
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,4,2364,23.64,2.243,43.964,0.1802
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,5,2455,24.54,1.613,64.936,0.2611
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,6,2357,23.56,5.921,45.258,0.3017
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.0,4,2364,23.64,1.861,19.157,0.1146
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.0,5,2455,24.54,1.111,20.93,0.121
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.0,6,2357,23.56,1.795,84.593,0.2274
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.5,4,2364,23.64,1.656,14.986,0.0998
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.5,5,2455,24.54,1.169,18.937,0.1177
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,soft_thr,1.5,6,2357,23.56,1.399,15.43,0.1031
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.0,4,2364,23.64,1.988,34.64,0.1641
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.0,5,2455,24.54,1.298,16.297,0.1116
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.0,6,2357,23.56,2.292,46.017,0.1599
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.5,4,2364,23.64,1.97,24.872,0.1531
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.5,5,2455,24.54,1.374,13.117,0.0933
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,angular_scaled,1.5,6,2357,23.56,1.573,9.88,0.0
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.0,4,2364,23.64,3.072,16.328,0.1083
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.0,5,2455,24.54,3.506,32.658,0.1731
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.0,6,2357,23.56,3.71,103.481,0.2605
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.5,4,2364,23.64,2.731,13.17,0.0664
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.5,5,2455,24.54,1.967,19.636,0.1234
3,LiftOff_200,Gromozeka_rate,cross_drone,LF+Rate,P+R_only,1.5,6,2357,23.56,2.911,30.177,0.1939
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.0,4,2353,23.62,1.822,50.008,0.1419
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.0,5,2443,24.53,1.482,25.076,0.14
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.0,6,2345,23.55,2.265,58.36,0.2597
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.5,4,2353,23.62,1.602,9.661,0.0684
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.5,5,2443,24.53,1.536,42.31,0.1822
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,baseline,1.5,6,2345,23.55,2.552,113.193,0.3015
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.0,4,2353,23.62,2.657,29.435,0.153
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.0,5,2443,24.53,1.556,10.689,0.0581
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.0,6,2345,23.55,2.736,61.916,0.2034
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.5,4,2353,23.62,2.014,16.655,0.1101
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.5,5,2443,24.53,1.403,12.969,0.095
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,no_thr,1.5,6,2345,23.55,3.033,67.306,0.2183
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.0,4,2353,23.62,31.66,111.353,0.5967
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.0,5,2443,24.53,51.522,113.312,0.77
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.0,6,2345,23.55,27.932,108.503,0.5949
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.5,4,2353,23.62,3.981,59.649,0.3009
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.5,5,2443,24.53,8.223,111.339,0.4163
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R,1.5,6,2345,23.55,13.608,70.278,0.4896
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.0,4,2353,23.62,2.34,12.745,0.0727
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.0,5,2443,24.53,1.342,9.75,0.0454
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.0,6,2345,23.55,3.682,51.521,0.2247
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.5,4,2353,23.62,2.158,28.868,0.1402
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.5,5,2443,24.53,1.291,12.357,0.0925
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Y+P+2R,1.5,6,2345,23.55,2.472,19.051,0.1441
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.0,4,2353,23.62,2.754,91.393,0.2456
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.0,5,2443,24.53,1.573,73.221,0.2272
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.0,6,2345,23.55,2.521,100.9,0.2614
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.5,4,2353,23.62,2.065,19.49,0.1211
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.5,5,2443,24.53,1.294,20.918,0.1322
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,R+Y_only,1.5,6,2345,23.55,2.189,34.757,0.2098
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.0,4,2353,23.62,2.523,72.148,0.1674
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.0,5,2443,24.53,2.301,42.371,0.2055
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.0,6,2345,23.55,3.801,39.358,0.2397
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.5,4,2353,23.62,2.326,49.018,0.1521
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.5,5,2443,24.53,1.644,42.066,0.1764
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+P+R,1.5,6,2345,23.55,1.989,37.839,0.235
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.0,4,2353,23.62,1.753,26.596,0.1254
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.0,5,2443,24.53,1.821,106.26,0.2612
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.0,6,2345,23.55,2.935,103.624,0.348
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.5,4,2353,23.62,2.292,42.686,0.1942
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.5,5,2443,24.53,1.606,107.448,0.3021
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,Thr+R+Y,1.5,6,2345,23.55,7.561,116.635,0.3348
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.0,4,2353,23.62,1.979,31.238,0.1334
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.0,5,2443,24.53,0.901,14.796,0.0999
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.0,6,2345,23.55,1.505,12.932,0.0797
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.5,4,2353,23.62,1.777,10.888,0.0722
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.5,5,2443,24.53,1.196,18.031,0.1113
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,soft_thr,1.5,6,2345,23.55,1.46,26.37,0.1194
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.0,4,2353,23.62,2.441,29.31,0.1538
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.0,5,2443,24.53,1.239,8.564,0.0761
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.0,6,2345,23.55,2.767,50.548,0.1552
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.5,4,2353,23.62,1.911,38.007,0.1912
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.5,5,2443,24.53,1.39,11.944,0.088
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,angular_scaled,1.5,6,2345,23.55,2.105,10.992,0.0533
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.0,4,2353,23.62,3.371,19.99,0.1449
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.0,5,2443,24.53,2.762,12.704,0.0929
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.0,6,2345,23.55,6.03,97.295,0.4107
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.5,4,2353,23.62,3.511,22.559,0.1738
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.5,5,2443,24.53,2.102,20.243,0.1212
3,LiftOff_200,Gromozeka_rate,cross_drone,RC+Rate,P+R_only,1.5,6,2345,23.55,3.198,95.074,0.2857
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.0,3,2527,25.26,11.373,102.819,0.4792
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.0,4,2321,23.22,4.891,56.269,0.3369
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.0,5,2264,22.62,2.306,104.885,0.258
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.5,3,2527,25.26,3.544,58.396,0.2616
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.5,4,2321,23.22,1.302,30.891,0.1663
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.5,5,2264,22.62,3.362,120.227,0.2942
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.0,3,2527,25.26,4.746,78.707,0.3249
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.0,4,2321,23.22,1.877,16.318,0.106
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.0,5,2264,22.62,4.012,96.682,0.2482
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.5,3,2527,25.26,2.226,8.802,0.0503
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.5,4,2321,23.22,1.447,10.502,0.0215
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.5,5,2264,22.62,2.008,7.343,0.0053
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.0,3,2527,25.26,90.038,146.127,0.8524
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.0,4,2321,23.22,74.279,144.153,0.8458
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.0,5,2264,22.62,22.513,112.801,0.5367
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.5,3,2527,25.26,61.448,132.37,0.8053
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.5,4,2321,23.22,37.95,128.658,0.7049
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R,1.5,5,2264,22.62,4.772,47.385,0.3048
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.0,3,2527,25.26,2.877,40.997,0.144
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.0,4,2321,23.22,2.936,99.739,0.2805
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.0,5,2264,22.62,2.684,100.311,0.2279
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.5,3,2527,25.26,2.183,8.67,0.0408
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.5,4,2321,23.22,1.678,16.65,0.109
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.5,5,2264,22.62,2.325,17.079,0.106
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.0,3,2527,25.26,2.579,11.519,0.0451
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.0,4,2321,23.22,1.551,18.547,0.1237
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.0,5,2264,22.62,5.574,131.111,0.4346
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.5,3,2527,25.26,2.29,9.688,0.0376
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.5,4,2321,23.22,1.906,28.1,0.1499
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,R+Y_only,1.5,5,2264,22.62,2.515,48.69,0.1595
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.0,3,2527,25.26,53.832,124.741,0.702
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.0,4,2321,23.22,20.486,99.656,0.573
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.0,5,2264,22.62,2.644,105.34,0.3017
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.5,3,2527,25.26,14.437,106.706,0.4887
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.5,4,2321,23.22,5.325,62.02,0.3356
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+P+R,1.5,5,2264,22.62,2.29,83.722,0.1966
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,3,2527,25.26,31.478,115.536,0.6098
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,4,2321,23.22,35.256,116.107,0.6295
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.0,5,2264,22.62,3.025,79.226,0.3043
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,3,2527,25.26,6.057,98.417,0.3376
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,4,2321,23.22,3.637,38.373,0.2645
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,5,2264,22.62,2.51,51.14,0.2319
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.0,3,2527,25.26,2.117,20.889,0.1092
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.0,4,2321,23.22,1.32,25.282,0.1448
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.0,5,2264,22.62,1.733,42.349,0.1617
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.5,3,2527,25.26,1.963,10.013,0.0277
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.5,4,2321,23.22,2.151,141.557,0.293
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.5,5,2264,22.62,1.467,7.532,0.0389
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.0,3,2527,25.26,2.361,10.455,0.0542
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.0,4,2321,23.22,1.696,23.032,0.1086
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.0,5,2264,22.62,2.29,18.8,0.1069
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.5,3,2527,25.26,1.964,8.505,0.0095
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.5,4,2321,23.22,1.658,24.688,0.1293
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.5,5,2264,22.62,1.783,7.18,0.0093
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.0,3,2527,25.26,6.842,123.319,0.3922
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.0,4,2321,23.22,3.396,28.055,0.1486
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.0,5,2264,22.62,3.415,65.277,0.1842
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.5,3,2527,25.26,5.322,62.172,0.1896
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.5,4,2321,23.22,3.303,21.336,0.1551
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,P+R_only,1.5,5,2264,22.62,2.514,10.651,0.03
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.0,3,2514,25.25,22.23,120.458,0.5438
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.0,4,2314,23.21,30.674,139.631,0.6067
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.0,5,2252,22.62,2.354,107.71,0.2722
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.5,3,2514,25.25,4.221,117.517,0.2951
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.5,4,2314,23.21,2.459,27.117,0.1508
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.5,5,2252,22.62,2.054,51.559,0.1372
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,no_thr,1.0,3,2514,25.25,2.271,10.93,0.0728
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,no_thr,1.0,4,2314,23.21,1.674,11.116,0.0562
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,no_thr,1.0,5,2252,22.62,2.941,67.158,0.1958
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,no_thr,1.5,3,2514,25.25,2.455,8.694,0.0549
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,no_thr,1.5,4,2314,23.21,1.615,9.719,0.0337
