flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,n_laps,median_err_m,p90_err_m,jump_rate
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R+Y,1.5,3,2.43,33.088,0.128
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.0,3,7.341,83.548,0.381
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.5,3,3.494,35.326,0.185
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.0,3,6.974,48.051,0.251
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.5,3,2.135,15.556,0.077
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.0,3,11.751,86.167,0.369
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.5,3,2.838,32.862,0.121
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.0,3,4.804,60.41,0.268
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.5,3,2.907,26.025,0.142
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.0,3,2.254,30.062,0.124
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.5,3,1.933,12.07,0.07
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.0,3,11.586,110.059,0.425
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,P+R_only,1.5,3,5.429,61.124,0.273
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.0,3,3.327,74.247,0.215
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.5,3,1.946,20.679,0.099
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.0,3,37.423,107.459,0.593
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.5,3,6.904,68.81,0.329
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.0,3,46.77,133.176,0.692
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.5,3,8.351,85.575,0.4
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.0,3,4.296,77.303,0.292
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R+Y,1.5,3,1.741,9.177,0.053
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.0,3,4.042,95.647,0.288
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.5,3,2.19,24.015,0.131
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.0,3,3.385,48.503,0.188
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,angular_scaled,1.5,3,1.944,12.277,0.062
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.0,3,4.966,74.992,0.282
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.5,3,2.962,31.688,0.146
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.0,3,3.399,59.623,0.207
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.5,3,2.96,24.977,0.14
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.0,3,2.967,29.088,0.164
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,soft_thr,1.5,3,1.897,10.787,0.055
