ref_name,ref_variant,ref_pilot,flight_id,preset,sigma,p90_gate_err_m,mean_gate_err_m,jump_rate,n_gates
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,18.94496135864784,7.574256537792709,0.2857142857142857,28
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,21.314590506021474,12.517638376892847,0.42857142857142855,28
Grom_4,sim,Gromozeka,RedSeep-S007,baseline,2.0,42.49584876338498,21.886634763960977,0.6785714285714286,28
Grom_4,sim,Gromozeka,RedSeep-S007,baseline,4.0,45.73840887676934,21.491283442045383,0.6071428571428571,28
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,2.0,27.329380337706937,12.706101150580773,0.39285714285714285,28
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,27.990156763625713,14.703096385633854,0.4642857142857143,28
Grom_4,sim,Gromozeka,RedSeep-S008,angular_scaled,2.0,27.2581889255546,11.533146387435645,0.34615384615384615,26
Grom_4,sim,Gromozeka,RedSeep-S008,angular_scaled,4.0,20.210563301051465,10.477150793968615,0.3076923076923077,26
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,38.65477143153089,18.00165324012873,0.5,26
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,37.810991761848186,20.2516327798332,0.5769230769230769,26
Grom_4,sim,Gromozeka,RedSeep-S008,no_thr,2.0,30.893265096265303,11.8798494423435,0.3076923076923077,26
Grom_4,sim,Gromozeka,RedSeep-S008,no_thr,4.0,41.86480469045556,18.126045061296278,0.5384615384615384,26
Grom_5,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,26.021620254830395,9.646896014266934,0.2857142857142857,28
Grom_5,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,24.76205140261312,12.330074014125964,0.42857142857142855,28
Grom_5,sim,Gromozeka,RedSeep-S007,baseline,2.0,37.670762430171315,15.716806982507519,0.5,28
Grom_5,sim,Gromozeka,RedSeep-S007,baseline,4.0,42.37509437090838,18.018828369888993,0.4642857142857143,28
Grom_5,sim,Gromozeka,RedSeep-S007,no_thr,2.0,28.791015489969958,15.108820900606466,0.4642857142857143,28
Grom_5,sim,Gromozeka,RedSeep-S007,no_thr,4.0,24.68126902035835,12.425864682293552,0.42857142857142855,28
Grom_5,sim,Gromozeka,RedSeep-S008,angular_scaled,2.0,26.02779443147262,11.699530015654165,0.34615384615384615,26
Grom_5,sim,Gromozeka,RedSeep-S008,angular_scaled,4.0,23.184066378214673,12.045754661685656,0.38461538461538464,26
Grom_5,sim,Gromozeka,RedSeep-S008,baseline,2.0,30.013027377455725,14.080836602159176,0.46153846153846156,26
Grom_5,sim,Gromozeka,RedSeep-S008,baseline,4.0,28.960415841407652,12.196566745562508,0.34615384615384615,26
Grom_5,sim,Gromozeka,RedSeep-S008,no_thr,2.0,33.01361876179628,13.335565403960812,0.3076923076923077,26
Grom_5,sim,Gromozeka,RedSeep-S008,no_thr,4.0,37.793353891006504,17.959381722242288,0.5384615384615384,26
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S007,angular_scaled,2.0,17.531032411132127,7.799728028791421,0.14285714285714285,28
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S007,angular_scaled,4.0,16.403087084837285,7.589668539583977,0.10714285714285714,28
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S007,baseline,2.0,33.08805641646771,8.406110426748008,0.17857142857142858,28
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S007,baseline,4.0,28.5621100890421,10.671015672291414,0.21428571428571427,28
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S007,no_thr,2.0,36.947778368733196,13.177328538201953,0.32142857142857145,28
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S007,no_thr,4.0,19.1749649466894,8.096608342260671,0.14285714285714285,28
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S008,angular_scaled,2.0,16.83241062647346,9.077916614438855,0.23076923076923078,26
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S008,angular_scaled,4.0,9.445888730710223,5.7876028667922235,0.07692307692307693,26
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S008,baseline,2.0,35.80180035140373,12.606322242043355,0.3076923076923077,26
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S008,baseline,4.0,18.226886708134785,7.579690392069424,0.15384615384615385,26
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S008,no_thr,2.0,32.89253539693313,12.004724410667219,0.23076923076923078,26
PlatOnAir_T1,sim,PlatOnAir,RedSeep-S008,no_thr,4.0,25.44567914454951,9.599229266095831,0.23076923076923078,26
RedRC_2,real,RedSeep,RedSeep-S007,angular_scaled,2.0,12.920805538948002,5.889149430777622,0.10714285714285714,28
RedRC_2,real,RedSeep,RedSeep-S007,angular_scaled,4.0,11.283611808932339,6.1904900411236365,0.10714285714285714,28
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,11.512619263465709,5.055677623957648,0.07142857142857142,28
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,13.004253901505471,6.230947262136893,0.10714285714285714,28
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,2.0,13.409539638142688,5.55588218187643,0.10714285714285714,28
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,4.0,12.033117687298995,6.40431531500261,0.10714285714285714,28
RedRC_2,real,RedSeep,RedSeep-S008,angular_scaled,2.0,11.537059526824057,5.199187493778458,0.0,26
RedRC_2,real,RedSeep,RedSeep-S008,angular_scaled,4.0,12.713378186546649,5.807913680181017,0.07692307692307693,26
RedRC_2,real,RedSeep,RedSeep-S008,baseline,2.0,24.845995597121238,9.507156176337809,0.19230769230769232,26
RedRC_2,real,RedSeep,RedSeep-S008,baseline,4.0,12.539706719033944,5.495275388705224,0.07692307692307693,26
RedRC_2,real,RedSeep,RedSeep-S008,no_thr,2.0,11.800242912485611,5.638221513883414,0.038461538461538464,26
RedRC_2,real,RedSeep,RedSeep-S008,no_thr,4.0,11.554877613335696,5.814057225558031,0.07692307692307693,26
RedRC_3,real,RedSeep,RedSeep-S007,angular_scaled,2.0,14.182699318620145,6.183662652891534,0.07142857142857142,28
RedRC_3,real,RedSeep,RedSeep-S007,angular_scaled,4.0,12.041320126143175,6.438373917483484,0.10714285714285714,28
RedRC_3,real,RedSeep,RedSeep-S007,baseline,2.0,14.658800021970183,5.994058101237452,0.10714285714285714,28
RedRC_3,real,RedSeep,RedSeep-S007,baseline,4.0,12.562232177454833,6.279467074333175,0.10714285714285714,28
RedRC_3,real,RedSeep,RedSeep-S007,no_thr,2.0,15.15921482036161,6.384195101520784,0.14285714285714285,28
RedRC_3,real,RedSeep,RedSeep-S007,no_thr,4.0,11.818451298566757,6.355165120675535,0.10714285714285714,28
RedRC_3,real,RedSeep,RedSeep-S008,angular_scaled,2.0,11.661019208009392,5.4657977417706665,0.038461538461538464,26
RedRC_3,real,RedSeep,RedSeep-S008,angular_scaled,4.0,11.712553521117421,5.7426578014913146,0.07692307692307693,26
RedRC_3,real,RedSeep,RedSeep-S008,baseline,2.0,11.77341848200508,5.053929792009331,0.038461538461538464,26
RedRC_3,real,RedSeep,RedSeep-S008,baseline,4.0,13.104049772891535,5.792851505212198,0.07692307692307693,26
RedRC_3,real,RedSeep,RedSeep-S008,no_thr,2.0,10.904156579428555,5.470237164298149,0.0,26
RedRC_3,real,RedSeep,RedSeep-S008,no_thr,4.0,11.827147042792534,5.910329409717141,0.038461538461538464,26
