drone_cond,lap_selection,n_laps,smooth_w,p90_err_m,median_err_m,jump_rate,n
cross_drone,fastest,1,1,19.581531044608564,2.3847468439494928,0.0794828317844776,12
cross_drone,fastest,1,3,17.28709077554991,2.275429715709248,0.07946363028694299,12
cross_drone,fastest,1,5,18.281277992802043,2.5360468218311407,0.0752547572904153,12
cross_drone,fastest,1,9,16.564383045487705,2.4486390974993073,0.06659413944220156,12
cross_drone,fastest,1,15,16.492359720278426,2.5628255864694256,0.07041602412527001,12
cross_drone,fastest,3,1,9.52793428338219,1.8321647401016878,0.03296757810121388,12
cross_drone,fastest,3,3,10.177967423768463,1.881741807944475,0.038500356594097625,12
cross_drone,fastest,3,5,10.394442181108511,1.8381770724116768,0.03808795236533704,12
cross_drone,fastest,3,9,10.679004477062756,1.9626618700775949,0.04138006794808962,12
cross_drone,fastest,3,15,10.613913843740962,2.2088587112657274,0.04065732653929636,12
cross_drone,fastest,5,1,7.3140390465554885,1.6333709813179127,0.02680024534436301,12
cross_drone,fastest,5,3,9.0314007237564,1.755518781046,0.03600518969513771,12
cross_drone,fastest,5,5,8.332714828811326,1.7847207383256727,0.0271391550362475,12
cross_drone,fastest,5,9,11.888039737474587,1.8293543437701425,0.03294784858388356,12
cross_drone,fastest,5,15,10.021402495147365,2.1031360108249677,0.041825663966138966,12
cross_drone,manual_best,1,1,21.453705284638662,2.2792282110168016,0.0884725645815757,12
cross_drone,manual_best,1,3,14.419911015568411,2.3531788653792334,0.07885046696262361,12
cross_drone,manual_best,1,5,23.159353719796755,2.5205180518734394,0.09275818024552063,12
cross_drone,manual_best,1,9,15.81957715696872,2.6060864258234213,0.08362052008487918,12
cross_drone,manual_best,1,15,15.624314248965872,2.6853269426486626,0.07896633045411182,12
cross_drone,manual_best,3,1,14.703518733005188,2.0355053401101997,0.0540235381459423,12
cross_drone,manual_best,3,3,12.729388137096016,1.957861690405865,0.0395275242560198,12
cross_drone,manual_best,3,5,10.391479664625125,2.0641538180008734,0.04726337071523983,12
cross_drone,manual_best,3,9,16.15727930279603,2.261088164604674,0.05810128933380527,12
cross_drone,manual_best,3,15,17.22170441489946,2.3287370979702384,0.05053266677556082,12
cross_drone,manual_best,5,1,7.266838242308996,1.7855494644997065,0.023186989109771166,12
cross_drone,manual_best,5,3,7.908556515177737,1.8386927542284555,0.028714279920002264,12
cross_drone,manual_best,5,5,7.254296011153639,1.8394605384305456,0.025104117299903767,12
cross_drone,manual_best,5,9,7.647464318158842,1.9115884330485622,0.02154293457187341,12
cross_drone,manual_best,5,15,10.454874902965324,2.2347465551984684,0.048491054837635446,12
cross_drone,median_time,1,1,9.329085924633128,1.9392822374335876,0.0438980553327118,12
cross_drone,median_time,1,3,12.177553571103736,1.9896956712597866,0.04840237707344739,12
cross_drone,median_time,1,5,10.257182873561515,2.032484626925364,0.04477511815975197,12
cross_drone,median_time,1,9,8.713225584425174,2.0626105975922875,0.027741043924163974,12
cross_drone,median_time,1,15,10.859193728988894,2.2377805881918986,0.04641291416683122,12
cross_drone,median_time,3,1,8.434368961696475,1.6339712438109542,0.028027760351643782,12
cross_drone,median_time,3,3,9.12120001537651,1.6469862624898193,0.028011598959334156,12
cross_drone,median_time,3,5,8.20032336221852,1.6103605788334308,0.03184371705710259,12
cross_drone,median_time,3,9,7.859273835859162,1.7091211729513673,0.025290971526761758,12
cross_drone,median_time,3,15,8.452907479618764,1.9160347246735547,0.0286219240301079,12
cross_drone,median_time,5,1,7.2668382423089115,1.7855494644995435,0.023186989109771166,12
cross_drone,median_time,5,3,7.908556515177754,1.838692754228645,0.028714279920002264,12
cross_drone,median_time,5,5,7.254296011153609,1.8394605384305427,0.025104117299903767,12
cross_drone,median_time,5,9,7.647464318158924,1.911588433048544,0.02154293457187341,12
cross_drone,median_time,5,15,10.454874902965377,2.234746555198561,0.048491054837635446,12
same_drone,fastest,1,1,10.067780830904399,2.112148270772233,0.05273986184352377,6
same_drone,fastest,1,3,11.438536980256595,2.235748479536319,0.06666752097976929,6
same_drone,fastest,1,5,11.814851084065609,2.305323364826156,0.06604488105083599,6
same_drone,fastest,1,9,16.289293126833147,2.480520816137681,0.07569838195270448,6
same_drone,fastest,1,15,11.905861006237133,2.5999707371750045,0.06360881261736497,6
same_drone,fastest,3,1,7.367370777955664,1.6854866024459245,0.025064497558125953,6
same_drone,fastest,3,3,6.429731797751096,1.6273001092263293,0.021226864074746447,6
same_drone,fastest,3,5,7.032247965963599,1.6801910238967193,0.02194170835553756,6
same_drone,fastest,3,9,6.776268180538223,1.806633682345088,0.01578900115811842,6
same_drone,fastest,3,15,7.771490691900709,2.002074991113434,0.019436633895894295,6
same_drone,fastest,5,1,5.896112367032764,1.5481207599263413,0.015562821309732437,6
same_drone,fastest,5,3,6.3466933714803035,1.6109955061140286,0.021247575444902887,6
same_drone,fastest,5,5,6.4263867585160925,1.5415588201993777,0.024260883754758242,6
same_drone,fastest,5,9,6.788666852432336,1.6668177294601143,0.019539098843446796,6
same_drone,fastest,5,15,7.08591105349635,1.878841000247179,0.022837515914041123,6
same_drone,manual_best,1,1,19.460509179164042,2.530445509062876,0.11448522055431322,6
same_drone,manual_best,1,3,12.538957588880946,2.254931133392551,0.08713848134562546,6
same_drone,manual_best,1,5,16.02376483908115,2.360389076112521,0.09367757301867057,6
same_drone,manual_best,1,9,11.470680969571381,2.410236304555594,0.07083566697474353,6
same_drone,manual_best,1,15,12.900363875094554,2.6541698459811496,0.07286812702178935,6
same_drone,manual_best,3,1,25.698672519444383,1.924893148998958,0.06696452361986488,6
same_drone,manual_best,3,3,20.110593203148582,1.9354833223525922,0.054514484696476156,6
same_drone,manual_best,3,5,18.837201947929664,2.0776425825421074,0.07258901861584029,6
same_drone,manual_best,3,9,12.191342550526722,2.0673128414627904,0.05640088646252316,6
same_drone,manual_best,3,15,37.25719341858977,2.393340928487291,0.08768421259450077,6
same_drone,manual_best,5,1,18.17890335673624,1.7304912903508918,0.05270976795319068,6
same_drone,manual_best,5,3,10.654211665044162,1.7373422380732002,0.03579152192754948,6
same_drone,manual_best,5,5,12.58118153130212,1.731217328824675,0.05716086882764224,6
same_drone,manual_best,5,9,30.795752139558463,1.9625477634025799,0.07456992832355387,6
same_drone,manual_best,5,15,10.815004198204397,2.000221950855058,0.04899662222253467,6
same_drone,median_time,1,1,8.950671983674406,1.828539059947629,0.03520682234483895,6
same_drone,median_time,1,3,9.750704375094209,1.8446475378662655,0.03698488084444139,6
same_drone,median_time,1,5,7.90361626792379,1.7473909665642118,0.024283704027294822,6
same_drone,median_time,1,9,9.225473533197402,1.9477793238601036,0.031227618488722724,6
same_drone,median_time,1,15,9.03207943868317,2.1869162450222013,0.027536751662157303,6
same_drone,median_time,3,1,6.692107467900388,1.5602954893687182,0.021694547459932056,6
same_drone,median_time,3,3,7.0341194349787415,1.5826780600539958,0.025789535854573515,6
same_drone,median_time,3,5,6.81748555943653,1.5914573479915528,0.01317079719035038,6
same_drone,median_time,3,9,6.898989317253451,1.6744222518832341,0.012420282640933375,6
same_drone,median_time,3,15,7.167045830777835,1.85170503815895,0.01814243471238587,6
same_drone,median_time,5,1,18.178903356736217,1.7304912903510836,0.05270976795319068,6
same_drone,median_time,5,3,10.654211665044105,1.7373422380732617,0.03579152192754948,6
same_drone,median_time,5,5,12.581181531302045,1.731217328824652,0.05716086882764224,6
same_drone,median_time,5,9,30.79575213955837,1.9625477634026776,0.07456992832355387,6
same_drone,median_time,5,15,10.815004198204369,2.0002219508549985,0.04899662222253467,6
