ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,test_lap,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,5,3,2509,25.217001914978027,2.4821187965696367,9.032680791869465,0.02869669190912714
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,5,4,2597,26.059934854507446,1.9546308364466825,6.823515835444549,0.016557566422795534
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,5,5,2477,24.85981011390686,2.6996242228986347,12.575037947247578,0.09002825999192572
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,5,3,2509,25.217001914978027,1.8059985315881448,8.129861868526799,0.031486648066958944
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,5,4,2597,26.059934854507446,1.579465710803703,5.635364614257456,0.013092029264536002
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,5,5,2477,24.85981011390686,2.0674753855556673,7.152555579712313,0.008881711748082357
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,manual_best,1,5,4,2353,23.624861001968384,2.038423308377702,10.497985032004024,0.02889927751806205
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,manual_best,1,5,5,2443,24.526942014694214,1.969600369726379,7.0205897752052175,0.020875972165370446
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,manual_best,1,5,6,2345,23.54997706413269,2.1915175810560186,6.853287024003645,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,manual_best,3,5,4,2353,23.624861001968384,1.9679640322509897,8.317377189135739,0.07054823629409265
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,manual_best,3,5,5,2443,24.526942014694214,1.7551499343715378,6.734295344334869,0.0
MT_ref,MadTrainer,3,LiftOff_200,cross_drone,manual_best,3,5,6,2345,23.54997706413269,1.984801517705506,9.203664657354583,0.04051172707889126
