ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,p90_err_m,median_err_m,jump_rate,n_test_laps
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,1,1,43.94959779509569,2.4481074736288875,0.18773675509033638,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,1,3,18.802446736351538,2.152303563592568,0.12884169853138336,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,1,5,30.82152226968655,2.2659067643217767,0.1419624495596016,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,1,9,22.67840236594302,2.3487170684764274,0.10717195670451228,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,1,15,20.068325902778955,2.647699577609709,0.12994440543648111,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,3,1,9.194687459425523,1.743743700458218,0.045514594887037775,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,3,3,8.773569418242172,1.71740313438661,0.05072599138188061,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,3,5,9.498887592166982,1.9563183719309098,0.055951445736160045,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,3,9,14.395909785457599,2.03397139438619,0.07592483544756402,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,3,15,12.541318537833524,2.202963610698692,0.07306879167433838,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,5,1,7.347669882811016,1.446137068865113,0.03339154378574229,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,5,3,15.035825729020933,1.673124844982392,0.0769696464493462,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,5,5,12.686699285849116,1.6826708760969022,0.06270657196440167,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,5,9,25.16162956453437,1.8326265826604669,0.07495082276322769,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,fastest,5,15,7.878307844642603,1.8374845038713516,0.031155890489099707,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,1,1,35.475740937431304,2.4759386771652223,0.1741794702138044,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,1,3,20.03021932691992,2.4114589505775563,0.13182595227655017,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,1,5,21.111218510253288,2.6979450197295485,0.14159867553239772,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,1,9,28.021692077630536,2.8532434540575338,0.15913893979411572,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,1,15,20.321262239357683,2.943313544161718,0.14307158037933437,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,3,1,18.91963726512793,2.14740451135359,0.07958690399451178,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,3,3,22.709408509158425,2.113394978230288,0.06413146379290897,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,3,5,10.240085281214464,2.1716128560979038,0.0542933099939309,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,3,9,33.98221702705694,2.5142414351827633,0.07957976464554008,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,3,15,10.91092070534203,2.402953559335946,0.05816152924826564,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,5,1,6.992189181437253,1.6872890274793615,0.034686629046107566,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,5,3,8.545337713087944,1.8062096878686127,0.04284193072739928,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,5,5,7.002975054653362,1.6716381779473803,0.03296469596607187,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,5,9,7.551554013136241,1.876105241279286,0.026850976700898824,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,manual_best,5,15,9.938409957494025,2.189447908226954,0.05939320360532881,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,1,1,9.725337498355119,1.9144534504625514,0.04594321963024247,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,1,3,10.64798242243971,1.9391663606120872,0.04688676707917972,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,1,5,9.402677416860985,2.0712073495735197,0.03398994221943427,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,1,9,9.46851476973284,2.014179468270592,0.03771928991677893,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,1,15,9.937779195583799,2.2490377526443033,0.044769331392968785,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,3,1,10.958022779548072,1.4978373984138262,0.051628290257633457,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,3,3,13.767674657246266,1.5450578022976948,0.06338254819902302,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,3,5,9.47375993159416,1.470292727107567,0.04809076954270311,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,3,9,8.436265267309322,1.5704266549730146,0.03350539149448417,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,3,15,9.999614312044462,1.904278466187563,0.042422434896517515,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,5,1,6.992189181437285,1.6872890274794206,0.034686629046107566,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,5,3,8.545337713088253,1.8062096878686411,0.04284193072739928,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,5,5,7.002975054653611,1.6716381779473555,0.03296469596607187,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,5,9,7.551554013136503,1.8761052412793309,0.026850976700898824,3
LO_ref,LiftOff_200,1,MadTrainer,cross_drone,median_time,5,15,9.938409957494299,2.1894479082272738,0.05939320360532881,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,1,1,19.169078537863466,3.294832842712637,0.11256203137937593,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,1,3,34.42864999437982,3.032620535259312,0.16385043260934337,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,1,5,26.652147949987228,3.805898461323904,0.13433520692613043,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,1,9,27.808026191237897,3.0964834509730963,0.13544508106737646,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,1,15,29.531947857671017,2.9020632823608614,0.13932383301979198,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,3,1,13.399201857697207,2.128975438057058,0.06154271850937646,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,3,3,16.088286867275183,2.3446815896285216,0.07566041809191294,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,3,5,16.353042458906685,2.0230451947123016,0.05316913533049728,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,3,9,12.712339333676807,2.212998038997616,0.058778360679119034,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,3,15,13.301846168090057,2.638647621791035,0.061541739212879205,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,5,1,6.712242591857873,1.6985906926853076,0.022812039570386577,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,5,3,6.6542351077049835,1.9355256926582847,0.029010905190957798,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,5,5,6.627510913273368,1.8881684805491215,0.02321575374075396,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,5,9,6.345787521313459,1.8234473006198613,0.019185083816196907,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,fastest,5,15,8.729083257379994,2.1498060936344765,0.04148348988108833,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,1,1,35.13163235564826,2.8449271074455376,0.1620782474443003,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,1,3,21.732158363885457,3.084461746954266,0.15841352556689908,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,1,5,55.874754617399354,3.3117451260853272,0.20471267277375563,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,1,9,19.485512925474435,3.221746378688446,0.15158362054848343,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,1,15,25.80682963584208,3.0964547405258016,0.16039788339230598,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,3,1,24.33730842782678,2.2863036882119303,0.08715112566906486,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,3,3,13.747870375566222,2.0995443545228625,0.051798682756197784,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,3,5,16.11839461587591,2.3330571351387968,0.07633726936693332,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,3,9,14.009366281676245,2.467558185688278,0.08175832579636715,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,3,15,41.24664087510077,2.667532657641511,0.08411115109024297,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,5,1,6.878920076244342,2.0661526667978856,0.007063929371653909,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,5,3,8.65334628932199,2.1351367425025103,0.03397498181236292,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,5,5,7.997559873837107,2.118160379117595,0.04481747879370884,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,5,9,6.993561395447777,2.1089049991139697,0.021665273830485176,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,manual_best,5,15,8.402870775799345,2.3242848667720892,0.03990774025084514,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,1,1,9.413190357193324,2.5343664430791697,0.06746326472792714,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,1,3,10.226308378507595,2.7472220532805665,0.05839433927592341,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,1,5,10.77538363886398,2.806324760688893,0.06294422290127673,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,1,9,9.757994516750959,2.8664151530478734,0.046785651471135475,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,1,15,10.424918500624493,2.9087445774587253,0.06394666734728899,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,3,1,7.2616052508323925,1.5821077549385703,0.035669752140500374,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,3,3,6.86711199470378,1.5780047398990575,0.021048830735716662,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,3,5,7.6016948439198195,1.5978048652228647,0.03605287029101641,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,3,9,7.39306128701126,1.6623799899059055,0.03684141894688744,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,3,15,7.199524937390979,1.7660368199340628,0.044046485953946245,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,5,1,6.87892007624459,2.0661526667973362,0.007063929371653909,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,5,3,8.653346289322362,2.135136742502965,0.03397498181236292,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,5,5,7.997559873837337,2.1181603791178376,0.04481747879370884,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,5,9,6.993561395448212,2.10890499911414,0.021665273830485176,3
LO_ref,LiftOff_200,2,MadTrainer,cross_drone,median_time,5,15,8.40287077579981,2.3242848667724396,0.03990774025084514,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,1,1,11.29511292760543,1.8348295326123747,0.06460442059089117,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,1,3,13.147597811472053,1.993785345235163,0.0850420498517604,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,1,5,14.15262397661069,2.231855444347327,0.08699558932705585,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,1,9,22.670074046283286,2.3955469420564253,0.10891506752381187,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,1,15,14.484909107557613,2.44595344909859,0.08867046235353714,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,3,1,8.394261258396511,1.7971386814679882,0.03667766364595151,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,3,3,6.391299623371158,1.6582909268937531,0.02331382636030689,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,3,5,7.490128534416677,1.69086557416932,0.03823587467539291,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,3,9,6.896427785393193,1.9120430515809137,0.02677941277957768,3
LO_ref,LiftOff_200,4,LiftOff_200,same_drone,fastest,3,15,7.642375594878014,2.0907845123251954,0.020176875542598147,3
