ref_name,ref_drone,ref_rate,flight_id,test_drone,test_rate,drone_cond,rate_cond,condition,preset,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
GromFF_1,MadTrainer,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,5,2443,24.526942014694214,1.969600369726379,7.0205897752052175,0.020875972165370446
GromFF_1,MadTrainer,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,6,2345,23.54997706413269,2.1915175810560186,6.853287024003645,0.0
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,3,2514,25.249022006988525,2.8329142293007408,15.804610211337526,0.10859188544152745
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,4,2314,23.20598602294922,1.9692319971300378,15.015249320160569,0.10025929127052723
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,5,2252,22.615839958190918,1.6006241174447915,9.999470066887259,0.05328596802841918
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,3,2514,25.249022006988525,2.5332930898080974,7.883032819069172,0.011535401750198886
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,4,2314,23.20598602294922,2.0771109992476227,11.700503661082625,0.07216940363007779
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,5,2252,22.615839958190918,2.0218130403176104,6.695280508996805,0.003996447602131439
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,3,2514,25.249022006988525,2.193545107477032,7.209704466172855,0.01392203659506762
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,4,2314,23.20598602294922,1.9378494829607966,7.891904491504597,0.006914433880726016
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,5,2252,22.615839958190918,1.8862103354387187,7.480854465712813,0.003552397868561279
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,baseline,2,2466,24.773011922836304,2.639931631368782,20.452501611496075,0.16707218167072183
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,baseline,3,2524,25.354163885116577,4.376623221426328,145.57090053949645,0.28961965134706813
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,baseline,4,2443,24.53096318244934,2.9183198634965493,25.00907560710125,0.2054850593532542
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,angular_scaled,2,2466,24.773011922836304,2.356965534785523,25.230856309512845,0.18694241686942417
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,angular_scaled,3,2524,25.354163885116577,2.8481861293162893,17.58503809195289,0.15887480190174327
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,angular_scaled,4,2443,24.53096318244934,2.0640673491497807,15.958786859745363,0.10110519852640197
