condition,preset,p90_err_m,median_err_m,jump_rate,n
cross_drone_cross_rate,angular_scaled,11.882963840070438,2.2687598174647317,0.06406548200056009,9
cross_drone_cross_rate,baseline,55.87128375889288,4.108993936102843,0.21480404682087714,9
cross_drone_cross_rate,no_thr,31.6905176523595,2.52242529961833,0.10221127146489836,9
cross_drone_same_rate,angular_scaled,12.169558044253721,2.0441204926326737,0.06280756310479567,9
cross_drone_same_rate,baseline,31.03804692605385,2.8382094434959892,0.13219348936123773,9
cross_drone_same_rate,no_thr,13.59637482029644,2.1915766527406575,0.06885575324212713,9
same_drone_cross_rate,angular_scaled,10.109138283784082,2.068900641931973,0.05493839860003158,9
same_drone_cross_rate,baseline,10.448416894266895,1.9589940474529266,0.06217819983363899,9
same_drone_cross_rate,no_thr,22.011285715899508,2.5333403918281956,0.1036784398674708,9
same_drone_same_rate,angular_scaled,11.237617556409816,1.9026476049391765,0.05829333810295773,9
same_drone_same_rate,baseline,8.997841070952623,1.6852513406923966,0.04096227057756396,9
same_drone_same_rate,no_thr,12.388657502697946,2.0160552886439866,0.0742374509358694,9
