scenario,test_session,test_drone,test_rate,ref_kind,condition,filter_mode,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,9,9,2567,25.754998922348022,1.2816664106227016,6.176912651442417,0.0
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,10,10,2549,25.623039960861206,2.1342945065707113,11.509986940256466,0.06041584935268733
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,11,11,2703,27.15173602104187,3.5629707774762096,85.5492622468009,0.2944876063633
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,12,12,2401,24.16984510421753,2.1015561832922174,13.476569648607523,0.09121199500208246
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,13,13,2633,26.441177129745483,2.1246283263877785,11.450500559012083,0.04405620964679073
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,continuous,14,14,2611,26.210068941116333,2.764039116003758,77.48242966537165,0.17043278437380313
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,1,1,2992,30.046236038208008,6.936867198263417,82.61037104944496,0.3977272727272727
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,2,2,2771,27.847700834274292,2.4577521485562954,31.212698448641802,0.14579574160952724
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,3,3,2835,28.523182153701782,3.87176924827007,91.813345590447,0.4038800705467372
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,4,4,2777,27.967777967453003,1.9374244563040026,6.9750566595873105,0.026647461289160967
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,5,5,2888,28.98906898498535,4.234328790640639,47.144145120079074,0.28150969529085873
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,6,6,2718,27.289001941680908,2.8285947686267914,13.622413476352932,0.08425312729948492
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,7,7,2760,27.710083961486816,1.9221374051217452,15.56826900820654,0.10144927536231885
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,8,8,2585,25.9531888961792,1.6214837086232876,5.747143234639725,0.043713733075435204
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,9,9,2567,25.754998922348022,1.490847488408491,7.568673836295645,0.019867549668874173
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,10,10,2549,25.623039960861206,1.8549860868669157,7.170086079501745,0.04276186739897999
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,11,11,2703,27.15173602104187,3.2846961470813483,82.41800255270768,0.20125786163522014
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,12,12,2401,24.16984510421753,1.9382628149398151,9.559353979423463,0.054560599750104126
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,13,13,2633,26.441177129745483,2.1596357707454246,11.148784573656188,0.040258260539308775
s003_external,MT_s003,MadTrainer,Gromozeka_rate,external,same_drone,reset,14,14,2611,26.210068941116333,2.87979596334128,74.69978642733639,0.17464572960551514
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,1,6,2525,25.403844833374023,1.8462473425811936,9.14604351080876,0.030495049504950494
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,2,7,2722,27.329137802124023,1.9193278001901461,15.873803357003712,0.11131520940484937
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,3,8,2312,23.212925910949707,1.5598196621934903,7.272639522921224,0.0
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,4,9,2312,23.21662998199463,1.5344611254099902,8.93294509788385,0.03762975778546713
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,5,10,2346,23.52618908882141,2.1146667967394386,8.4429927824972,0.049019607843137254
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,6,11,2666,26.786911964416504,2.636246385075683,89.20561495997553,0.2929482370592648
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,7,12,2344,23.593735933303833,1.799525364142248,5.896636607544491,0.014505119453924915
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,8,13,2307,23.15007710456848,1.4950655828343145,4.573059959812719,0.045080190723883834
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,9,14,2625,26.3830509185791,1.8439130703937252,15.96940464440273,0.11047619047619048
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,continuous,10,15,2334,23.44292402267456,1.4067802799351057,7.1693079314218595,0.02356469580119966
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,1,6,2525,25.403844833374023,1.8865328672690111,9.039260091109687,0.027722772277227723
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,2,7,2722,27.329137802124023,2.022917689878568,9.730008680015843,0.07678177810433505
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,3,8,2312,23.212925910949707,1.6884251638031955,6.4986408989334965,0.0
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,4,9,2312,23.21662998199463,1.5617998086661444,7.7719433776907305,0.042820069204152246
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,5,10,2346,23.52618908882141,2.1867597255823075,8.692136651218547,0.05413469735720375
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,6,11,2666,26.786911964416504,3.952134596728058,99.79953505144354,0.41822955738934736
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,7,12,2344,23.593735933303833,1.883618220140189,6.606953881259083,0.014931740614334471
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,8,13,2307,23.15007710456848,1.4747020801461659,4.20759081206329,0.006068487212830516
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,9,14,2625,26.3830509185791,1.8855414293946566,13.347614459638086,0.07695238095238095
s004_holdout,MT_s004,MadTrainer,Gromozeka_rate,holdout,same_drone,reset,10,15,2334,23.44292402267456,1.5396192241207345,7.4295626104497945,0.02099400171379606
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,1,1,2472,24.886879920959473,1.6421575963069728,5.351666665943514,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,2,2,2524,25.33614683151245,2.386083599991238,9.340892687226297,0.03922345483359747
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,3,3,2665,26.740379095077515,1.5314805299963723,7.230612927194852,0.03189493433395872
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,4,4,2618,26.25896406173706,1.1089139663760736,3.8146971714156037,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,5,5,2530,25.401978969573975,1.4079951753069224,4.724988217436074,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,6,6,2525,25.403844833374023,1.762951656118318,5.687982196902881,0.008712871287128714
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,7,7,2722,27.329137802124023,2.241090175794966,11.405677336876309,0.09368111682586333
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,8,8,2312,23.212925910949707,1.059864904782259,5.207722884565714,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,9,9,2312,23.21662998199463,1.3329548152872661,6.4902617318975775,0.012543252595155709
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,10,10,2346,23.52618908882141,1.8408661802011608,7.142031513830826,0.0392156862745098
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,11,11,2666,26.786911964416504,2.805950697315126,94.05044213727591,0.2895723930982746
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,12,12,2344,23.593735933303833,1.6112476240191569,6.189877937744317,0.008959044368600682
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,13,13,2307,23.15007710456848,1.6825907539983405,5.657857191998136,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,14,14,2625,26.3830509185791,2.035941242924821,7.399457188768063,0.017904761904761906
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,continuous,15,15,2334,23.44292402267456,1.2295886247944594,5.670713923225293,0.020137103684661525
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,1,1,2472,24.886879920959473,1.6347745227514565,5.269173142439169,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,2,2,2524,25.33614683151245,2.293805672959813,10.684282958949751,0.07646592709984153
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,3,3,2665,26.740379095077515,1.5323595205085212,5.1287524947336305,0.02176360225140713
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,4,4,2618,26.25896406173706,1.159614168229055,4.038238573553629,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,5,5,2530,25.401978969573975,1.5688854850163594,5.1694279214673955,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,6,6,2525,25.403844833374023,1.8138168673947064,5.55653937749641,0.002376237623762376
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,7,7,2722,27.329137802124023,2.5227871025332855,16.06008004120678,0.10249816311535635
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,8,8,2312,23.212925910949707,1.1863241349058722,5.324753760735056,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,9,9,2312,23.21662998199463,1.429464906989672,6.010211411858548,0.02897923875432526
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,10,10,2346,23.52618908882141,1.5847866039282674,5.297292038296121,0.013640238704177323
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,11,11,2666,26.786911964416504,3.6356271543456913,94.6700751812758,0.3372093023255814
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,12,12,2344,23.593735933303833,1.8583349047406728,10.873552081049422,0.09129692832764505
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,13,13,2307,23.15007710456848,1.5159546908863604,4.536998739675539,0.0
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,14,14,2625,26.3830509185791,1.9559304095922414,8.474691185756141,0.08533333333333333
s004_external,MT_s004,MadTrainer,Gromozeka_rate,external,same_drone,reset,15,15,2334,23.44292402267456,1.3345589732661125,6.016979442861974,0.028706083976006855
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,continuous,1,1,2516,25.26086401939392,2.1208282270231287,7.244745731429606,0.005564387917329093
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,continuous,2,2,2490,25.02094602584839,1.0025086769673948,4.446975917294716,0.002811244979919679
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,continuous,3,3,2577,25.9479341506958,1.5294627592271866,9.747697558115837,0.05820721769499418
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,continuous,4,4,2353,23.624861001968384,1.4729223006300458,4.800947326295804,0.0
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,continuous,5,5,2443,24.526942014694214,1.0932743094783177,5.673035886004108,0.0
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,continuous,6,6,2345,23.54997706413269,1.9318303914044463,7.036227962340216,0.009381663113006396
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,reset,1,1,2516,25.26086401939392,2.0340138688005993,6.1030418008266025,0.012718600953895072
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,reset,2,2,2490,25.02094602584839,1.1823861497140626,4.299793706110597,0.0
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,reset,3,3,2577,25.9479341506958,1.5379625443704725,8.398855921112165,0.06984866123399301
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,reset,4,4,2353,23.624861001968384,1.5119368173925523,4.415145900906653,0.0
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,reset,5,5,2443,24.526942014694214,1.2258276061349562,5.581782408842378,0.0
LO_s001_cross,LO_s001,LiftOff_200,Gromozeka_rate,cross,cross_drone,reset,6,6,2345,23.54997706413269,1.9816901270991991,7.321074350547411,0.03155650319829424
