scenario,filter_mode,condition,ref_kind,n_laps,mean_p90,slope_m_per_lap,intercept_m,slope_pvalue,p90_first2,p90_rest,p90_first2_minus_rest
LO_s001_cross,continuous,cross_drone,cross,6,6.491605063580047,-0.06603311917539449,6.722720980693928,0.9055004998652436,5.845860824362161,6.814477183188991,-0.9686163588268304
LO_s001_cross,reset,cross_drone,cross,6,6.019949014724301,0.17006910961696783,5.424707131064914,0.7087895462569072,5.2014177534686,6.429214645352152,-1.2277968918835525
s003_external,continuous,same_drone,external,14,38.34304767167167,-1.8404103936657366,52.146125624164696,0.4451074416934594,55.90117261644802,35.41669351420895,20.48447910223907
s003_external,reset,same_drone,external,14,34.80415214545146,-1.678194716167577,47.39061251670829,0.47380499619373534,56.91153474904338,31.11958837818614,25.791946370857243
s003_holdout,continuous,same_drone,holdout,9,16.46577672122164,4.419381560880664,-5.631131083181682,0.08697622586786856,6.5551893016054805,19.297373126826262,-12.742183825220781
s003_holdout,reset,same_drone,holdout,9,19.984583365125637,6.043469778935308,-10.232765529550903,0.10043657769581157,5.627494709738299,24.086608695236304,-18.459113985498007
s004_external,continuous,same_drone,external,15,12.357658780820092,0.9221096678141105,4.980781438307208,0.516579846813006,7.346279676584906,13.128640181471658,-5.782360504886752
s004_external,reset,same_drone,external,15,12.87406989009036,0.9796184185363112,5.03712254179987,0.4938197564629958,7.97672805069446,13.627507096151266,-5.650779045456806
s004_holdout,continuous,same_drone,holdout,10,17.248244837427208,0.24869325871653794,15.88043191448625,0.9356402878879617,12.509923433906236,18.43282518830745,-5.922901754401215
s004_holdout,reset,same_drone,holdout,10,17.312324651382212,0.5272311673211862,14.412553231115687,0.8802937312248111,9.384634385562766,19.29424721783707,-9.909612832274306
