scenario,test_session,test_drone,ref_kind,condition,filter_mode,n_laps,mean_p90,median_p90,std_p90,mean_median_err,mean_jump_rate
LO_s001_cross,LO_s001,LiftOff_200,cross,cross_drone,continuous,6,6.491605063580047,6.354631924172162,1.9583084909865973,1.5251377774550867,0.012660752284208224
LO_s001_cross,LO_s001,LiftOff_200,cross,cross_drone,reset,6,6.019949014724301,5.842412104834491,1.6177358816731322,1.5789695189186403,0.01902062756436372
s003_external,MT_s003,MadTrainer,external,same_drone,continuous,14,38.34304767167167,16.628860937662406,34.64479102441554,2.8821643919563558,0.1561196198498625
s003_external,MT_s003,MadTrainer,external,same_drone,reset,14,34.80415214545146,14.595341242279737,33.625928372382994,2.8156129996992516,0.14416630327134272
s003_holdout,MT_s003,MadTrainer,holdout,same_drone,continuous,9,16.46577672122164,7.519117773156694,20.139038520949555,1.820856686951302,0.0438345251089809
s003_holdout,MT_s003,MadTrainer,holdout,same_drone,reset,9,19.984583365125637,5.993314412041997,28.457071739378947,1.8562023587418635,0.04721786569106766
s004_external,MT_s004,MadTrainer,external,same_drone,continuous,15,12.357658780820092,6.189877937744317,22.677540049780994,1.7119785028808967,0.03745630794710083
s004_external,MT_s004,MadTrainer,external,same_drone,reset,15,12.87406989009036,5.55653937749641,22.859402129420822,1.801801674536539,0.052551270367429105
s004_holdout,MT_s004,MadTrainer,holdout,same_drone,continuous,10,17.248244837427208,8.687968940190526,25.569788962008044,1.8156053409495336,0.07150340580528679
s004_holdout,MT_s004,MadTrainer,holdout,same_drone,reset,10,17.31232465138221,8.23204001445464,29.082381435010547,2.0082050805729033,0.07386354848256081
