preset,obs_sigma,process_noise_v,drone_cond,p90_err_m,median_err_m,jump_rate,n_laps
angular_scaled,0.5,1.0,cross_drone,91.55668088929166,3.2898458865653244,0.2480691172764695,6
angular_scaled,0.5,1.0,same_drone,76.48023022413635,4.201632924931536,0.27972395530313215,6
angular_scaled,0.5,2.0,cross_drone,85.4104263096774,3.3176070919229574,0.265691150819575,6
angular_scaled,0.5,2.0,same_drone,67.48798023972165,4.5756240209389345,0.26982800118766653,6
angular_scaled,0.5,3.0,cross_drone,92.32124722176718,3.3862601020408447,0.24932112920677074,6
angular_scaled,0.5,3.0,same_drone,72.56572600849579,4.812032377798549,0.2782497286888744,6
angular_scaled,0.5,5.0,cross_drone,82.74556146387054,2.7671449615288783,0.23020607345898225,6
angular_scaled,0.5,5.0,same_drone,67.03937304639584,3.6985954328298885,0.2551248169077095,6
angular_scaled,0.5,8.0,cross_drone,79.4703549030669,2.7350373596521886,0.22003767234417815,6
angular_scaled,0.5,8.0,same_drone,76.63599751140332,3.9695613344833176,0.26596225555148617,6
angular_scaled,1.0,1.0,cross_drone,45.67910292087931,2.8102057288548465,0.16405867293545429,6
angular_scaled,1.0,1.0,same_drone,35.17805316551991,4.020405535791159,0.2006575446836275,6
angular_scaled,1.0,2.0,cross_drone,41.362499945713076,2.0757554885640364,0.1382342901283097,6
angular_scaled,1.0,2.0,same_drone,27.908146872778833,2.301805146358569,0.13932638864649052,6
angular_scaled,1.0,3.0,cross_drone,30.585660095133097,2.1640043768219757,0.11465116382076555,6
angular_scaled,1.0,3.0,same_drone,35.03330123910221,2.5949283149010913,0.15295431244208194,6
angular_scaled,1.0,5.0,cross_drone,15.083627751988606,1.9815894236296299,0.0743713582327515,6
angular_scaled,1.0,5.0,same_drone,16.887765551426448,2.147593022493464,0.09996014907619405,6
angular_scaled,1.0,8.0,cross_drone,13.985857189005722,1.9544004244710382,0.06860119535470666,6
angular_scaled,1.0,8.0,same_drone,14.225317705055081,2.1045444895844656,0.08044617663155161,6
angular_scaled,1.5,1.0,cross_drone,15.251046451246857,2.0450015520912213,0.08748567039490206,6
angular_scaled,1.5,1.0,same_drone,20.00901515354107,2.461114237705869,0.12306087734525793,6
angular_scaled,1.5,2.0,cross_drone,28.2158378628237,1.925911686099959,0.12107906198605335,6
angular_scaled,1.5,2.0,same_drone,28.847504081162622,2.278157738755553,0.1545757797483408,6
angular_scaled,1.5,3.0,cross_drone,16.17804267979803,1.7673163189242491,0.07938075419204825,6
angular_scaled,1.5,3.0,same_drone,13.633620044492757,1.7440062785826147,0.07758382803533398,6
angular_scaled,1.5,5.0,cross_drone,9.55263534678486,1.872553330626457,0.0389490269606227,6
angular_scaled,1.5,5.0,same_drone,11.064687781230267,2.020083397057825,0.06287508578044647,6
angular_scaled,1.5,8.0,cross_drone,8.2527609060339,1.9356872714998612,0.01279766814120327,6
angular_scaled,1.5,8.0,same_drone,9.473748888074374,1.9740912771737402,0.04704838904530823,6
angular_scaled,2.0,1.0,cross_drone,14.96473320672704,2.4313018102092614,0.0691059300266088,6
angular_scaled,2.0,1.0,same_drone,17.66500158092529,2.636828814116449,0.11809079243963803,6
angular_scaled,2.0,2.0,cross_drone,18.593159034377244,1.9218739186040459,0.10525258252305132,6
angular_scaled,2.0,2.0,same_drone,19.086231571573382,2.0532364288303686,0.11127523435152127,6
angular_scaled,2.0,3.0,cross_drone,12.501922223211833,1.7462315992415494,0.0630121971239279,6
angular_scaled,2.0,3.0,same_drone,14.036646432747313,1.7745925984160895,0.08499971787591265,6
angular_scaled,2.0,5.0,cross_drone,10.503897969674805,1.886993710704001,0.04609804470803264,6
angular_scaled,2.0,5.0,same_drone,11.1653569928442,1.790185822149265,0.050198267188915346,6
angular_scaled,2.0,8.0,cross_drone,8.455035531878986,2.0607692463865437,0.02231478476853394,6
angular_scaled,2.0,8.0,same_drone,9.216551808625203,2.0232086843065242,0.03944866786321215,6
angular_scaled,2.5,1.0,cross_drone,13.55726920219906,2.443319344913738,0.0631327452604398,6
angular_scaled,2.5,1.0,same_drone,15.278983524691368,2.48033468587886,0.11248156629805617,6
angular_scaled,2.5,2.0,cross_drone,18.300422159409752,2.099553890604135,0.10557252111658487,6
angular_scaled,2.5,2.0,same_drone,15.952933470319929,1.948774341725435,0.10434055357029515,6
angular_scaled,2.5,3.0,cross_drone,13.556611064230433,1.896159290886158,0.08137081472813586,6
angular_scaled,2.5,3.0,same_drone,13.562443177327678,1.7198039032734258,0.09056141183868412,6
angular_scaled,2.5,5.0,cross_drone,11.425647355773977,1.9410970854789518,0.05502488910841415,6
angular_scaled,2.5,5.0,same_drone,11.996626266490745,2.0007492814961902,0.06694606090858814,6
angular_scaled,2.5,8.0,cross_drone,9.607267418798267,2.2196475014930606,0.039956102171470775,6
angular_scaled,2.5,8.0,same_drone,10.384580053541411,2.2357287378775044,0.04403308654063615,6
angular_scaled,3.0,1.0,cross_drone,16.404565957766305,2.8305016128501017,0.0985836949545744,6
angular_scaled,3.0,1.0,same_drone,14.87024846196197,2.9092559868763654,0.10398930848867298,6
angular_scaled,3.0,2.0,cross_drone,17.99093846672944,2.2638227036897995,0.1094398120947284,6
angular_scaled,3.0,2.0,same_drone,16.566531497938236,2.240648358393448,0.10728865965136448,6
angular_scaled,3.0,3.0,cross_drone,15.145924433042966,2.1255075904034464,0.09164584172050971,6
angular_scaled,3.0,3.0,same_drone,14.288279991997209,1.9562540922877354,0.09567381511287583,6
angular_scaled,3.0,5.0,cross_drone,11.948013960292897,2.1762117011407818,0.06852765469811424,6
angular_scaled,3.0,5.0,same_drone,12.359063125318464,2.164611067642005,0.07767156459303846,6
angular_scaled,3.0,8.0,cross_drone,10.184693935111909,2.517125166181019,0.04635205369891817,6
angular_scaled,3.0,8.0,same_drone,10.727718168592228,2.5502855799474724,0.05298249368134158,6
baseline,0.5,1.0,cross_drone,115.98595576762962,19.006332639685326,0.4781409753103108,6
baseline,0.5,1.0,same_drone,77.81307897795469,9.996865273051965,0.3479421878807649,6
baseline,0.5,2.0,cross_drone,113.65976959598196,14.780310824917557,0.46467985819346525,6
baseline,0.5,2.0,same_drone,91.15767595860405,9.935720006569898,0.32906938081591536,6
baseline,0.5,3.0,cross_drone,124.76279298802494,22.370834972481372,0.48859126264106,6
baseline,0.5,3.0,same_drone,85.35609962276318,9.820326145001035,0.3525970357212418,6
baseline,0.5,5.0,cross_drone,115.58467468339569,18.24578565201081,0.44204100362953685,6
baseline,0.5,5.0,same_drone,88.89687217855733,12.406485329722024,0.35770733187437714,6
baseline,0.5,8.0,cross_drone,108.37629885924743,10.535161555778055,0.42651896762955727,6
baseline,0.5,8.0,same_drone,66.02911955689453,7.0696210437693425,0.29328397423537433,6
baseline,1.0,1.0,cross_drone,92.87070152890362,9.79701147371638,0.3671607627340259,6
baseline,1.0,1.0,same_drone,50.52933103020922,7.850104663679989,0.2737658816080145,6
baseline,1.0,2.0,cross_drone,73.40097819943931,5.213976059492689,0.27068402189253643,6
baseline,1.0,2.0,same_drone,65.512153110026,4.200816525817344,0.24807200993844689,6
baseline,1.0,3.0,cross_drone,83.54037868071873,10.13770335198359,0.32738979818140357,6
baseline,1.0,3.0,same_drone,48.823520592367366,3.229261483733777,0.19451175589545375,6
baseline,1.0,5.0,cross_drone,94.913574771744,4.919134525707251,0.29008446513726277,6
baseline,1.0,5.0,same_drone,47.00352123370917,3.955216815140337,0.18915919592881839,6
baseline,1.0,8.0,cross_drone,57.99648228350875,2.9319311878626793,0.19662336743956488,6
