preset,obs_sigma,process_noise_v,drone_cond,p90_err_m,median_err_m,jump_rate,n_laps
baseline,2.0,8.0,same_drone,6.912061302343371,1.825564069423196,0.01974233785473079,6
baseline,2.5,8.0,cross_drone,12.39126246296994,2.01986545813623,0.07091180541199447,6
angular_scaled,2.0,8.0,same_drone,9.216551808625203,2.0232086843065242,0.03944866786321215,6
angular_scaled,1.5,8.0,cross_drone,8.2527609060339,1.9356872714998612,0.01279766814120327,6
soft_thr,2.0,8.0,same_drone,7.527280818969359,1.5937020602302645,0.015698650237106218,6
soft_thr,1.5,8.0,cross_drone,9.655508452669471,1.6560796768794563,0.04307715124057324,6
no_thr,2.0,8.0,same_drone,8.784499685960817,2.0474188644304827,0.032246831767586026,6
no_thr,2.0,8.0,cross_drone,7.8257208757671926,2.0361910308394413,0.012360686337964569,6
