flight_id,drone,rate,drone_cond,preset,obs_sigma,process_noise_v,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,1.0,2,2466,24.773011922836304,2.2908048574486415,54.96526079475155,0.18126520681265207
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,1.0,3,2524,25.354163885116577,3.138194674204641,91.8151895530853,0.33914421553090335
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,1.0,4,2443,24.53096318244934,0.45246653338084286,4.105804533422743,0.05566925910765452
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,1.0,3,2509,25.217001914978027,17.78595735667244,113.79275838699633,0.507373455559984
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,1.0,4,2597,26.059934854507446,22.02794332473048,116.88516862429876,0.5132845591066615
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,1.0,5,2477,24.85981011390686,14.28582489187474,85.31429197517345,0.49091643116673395
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,1.0,4,2353,23.624861001968384,2.703473437379415,93.7262401194751,0.30386740331491713
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,1.0,5,2443,24.526942014694214,4.385110730375732,119.14716502093435,0.3823168235775686
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,1.0,6,2345,23.54997706413269,8.690389962097981,112.76039093963773,0.4230277185501066
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,1.0,3,2514,25.249022006988525,47.381036193027924,132.55124417103048,0.6941129673826572
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,1.0,4,2314,23.20598602294922,22.754617674919743,115.94169775335983,0.5233362143474503
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,1.0,5,2252,22.615839958190918,28.123367840311154,121.7889966013403,0.5421847246891652
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,2.0,2,2466,24.773011922836304,3.3601466101258097,115.33572311939179,0.22424979724249797
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,2.0,3,2524,25.354163885116577,2.0635531910652585,93.20544134425339,0.26584786053882725
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,2.0,4,2443,24.53096318244934,0.3779994333640957,2.052183352546482,0.011870650839132215
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,2.0,3,2509,25.217001914978027,7.524128715248992,112.79143999097205,0.46353128736548427
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,2.0,4,2597,26.059934854507446,6.199701284789967,108.87438070940787,0.37427801309202924
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,2.0,5,2477,24.85981011390686,40.088790804825265,114.6868872350527,0.6346386758175212
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,2.0,4,2353,23.624861001968384,3.941256865720689,116.06932245099324,0.34594135146621335
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,2.0,5,2443,24.526942014694214,6.480033186762455,108.91161070765162,0.3835448219402374
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,2.0,6,2345,23.54997706413269,7.34536372415559,114.84656951284944,0.43837953091684434
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,2.0,3,2514,25.249022006988525,23.017675880215876,111.11128387282848,0.5592680986475735
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,2.0,4,2314,23.20598602294922,32.879948994750606,116.59507934090185,0.5605012964563526
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,2.0,5,2252,22.615839958190918,15.017586297900124,114.42475169066704,0.5004440497335702
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,3.0,2,2466,24.773011922836304,4.139812047821589,101.1298867837863,0.3548256285482563
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,3.0,3,2524,25.354163885116577,2.58443016643254,107.18396320917341,0.2805071315372425
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,3.0,4,2443,24.53096318244934,0.38377891277157516,1.8649699930856207,0.0
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,3.0,3,2509,25.217001914978027,12.909430389619189,111.33679406941441,0.479473893981666
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,3.0,4,2597,26.059934854507446,11.878806140487143,89.19503933426378,0.45899114362726223
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,3.0,5,2477,24.85981011390686,27.025699212874173,101.42594434685557,0.5417844166330238
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,3.0,4,2353,23.624861001968384,2.960243823968419,116.49405848215011,0.3149171270718232
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,3.0,5,2443,24.526942014694214,7.4781744098873055,105.55217869281032,0.43962341383544823
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,3.0,6,2345,23.54997706413269,8.291240104656765,112.57966459166123,0.43837953091684434
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,3.0,3,2514,25.249022006988525,54.98591567096446,140.69974281775214,0.6587112171837709
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,3.0,4,2314,23.20598602294922,48.40328832920997,134.05085548501202,0.5972342264477096
4,LiftOff_200,RedSheep_rate,cross_drone,baseline,0.5,3.0,5,2252,22.615839958190918,12.106147496201295,139.20025785876382,0.4826820603907638
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,5.0,2,2466,24.773011922836304,2.6751260583293686,91.2269338257189,0.23398215733982158
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,5.0,3,2524,25.354163885116577,1.9392143443066203,96.08428620326163,0.2603011093502377
1,MadTrainer,Gromozeka_rate,same_drone,baseline,0.5,5.0,4,2443,24.53096318244934,0.35178044084725,1.3712655615663196,0.0
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,5.0,3,2509,25.217001914978027,7.783703780252905,117.77531245882913,0.469908330011957
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,5.0,4,2597,26.059934854507446,17.436467814767937,109.18669260481555,0.5171351559491721
2,MadTrainer,RedSheep_rate,same_drone,baseline,0.5,5.0,5,2477,24.85981011390686,44.25261953982806,117.73674241715253,0.6649172385950747
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,5.0,4,2353,23.624861001968384,2.6869329601305907,104.55972544159552,0.2681682957926052
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,5.0,5,2443,24.526942014694214,3.825938499550972,87.51146243553178,0.33565288579615227
3,LiftOff_200,Gromozeka_rate,cross_drone,baseline,0.5,5.0,6,2345,23.54997706413269,6.933377308663818,113.7290845243152,0.4051172707889126
