session,ts_wall,frame_idx,event,gate_id,sigma_cam,sigma_eff,innovation_xz,obs_x,obs_y,obs_z,pre_x,pre_z,pre_sigma,post_x,post_z,post_sigma,dx,dz,reason
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.0944512,630,injected,"[21, 9]",2.2747961108243793,4.0,8.062687204865457,22.437875747680664,4.521284103393555,33.79214859008789,23.76437757272927,41.74496682462864,17.234249018799233,25.41728769955467,40.39742266960251,7.935414089602508,1.6529101268254003,-1.347544155026128,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.3451424,638,skipped_innovation,"[17, 21]",2.370383556603319,,15.971858524326361,6.47703218460083,0.5328967571258545,34.238189697265625,21.607758327674727,39.35301042769174,7.519515418429664,,,,,,innovation_xz_gate
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.3551724,638,skipped_innovation,"[17, 21]",2.370383556603319,,15.829935099225445,6.47703218460083,0.5328967571258545,34.238189697265625,21.46595549063994,39.32926260691515,7.50051106196635,,,,,,innovation_xz_gate
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.3651783,638,skipped_innovation,"[17, 21]",2.370383556603319,,15.688165152667862,6.47703218460083,0.5328967571258545,34.238189697265625,21.324243132902303,39.30562030004837,7.492903870464708,,,,,,innovation_xz_gate
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.3752034,638,skipped_innovation,"[17, 21]",2.370383556603319,,15.554123724889713,6.47703218460083,0.5328967571258545,34.238189697265625,21.19020314601703,39.2833225111087,7.480414245577428,,,,,,innovation_xz_gate
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.3852322,638,skipped_innovation,"[17, 21]",2.370383556603319,,15.41883030500934,6.47703218460083,0.5328967571258545,34.238189697265625,21.054858546724148,39.26086891561681,7.467625486864853,,,,,,innovation_xz_gate
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.3952494,638,skipped_innovation,"[17, 21]",2.370383556603319,,15.28090325040705,6.47703218460083,0.5328967571258545,34.238189697265625,20.916840038007397,39.23798502357637,7.454633492504666,,,,,,innovation_xz_gate
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254644.4052544,638,skipped_innovation,"[17, 21]",2.370383556603319,,15.134242232669456,6.47703218460083,0.5328967571258545,34.238189697265625,20.770041986390755,39.213645330979276,7.439779919383868,,,,,,innovation_xz_gate
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254658.0759094,1049,injected,"[0, 10]",2.02362566787137,4.0,9.465081348768019,42.634239196777344,0.8593695759773254,27.983116149902344,51.374607650104764,31.61543279893985,9.5553952630633,51.5357197652638,28.96002933555698,4.555653043204222,0.16111211515903534,-2.6554034633828714,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254659.6710503,1097,injected,"[0, 11]",2.330921812800817,4.0,9.223991750690185,43.738582611083984,6.772986888885498,24.323278427124023,38.10638656196715,17.018458683891936,9.334382760202276,37.44584485127225,17.73402920489009,6.177122126273444,-0.6605417106949005,0.7155705209981527,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254660.1240463,1111,injected,"[10, 12]",2.829676657107138,4.244514985660707,13.376655020507606,45.71516799926758,2.2520101070404053,33.0042724609375,38.26791299979008,21.892418767226953,7.191363800632952,39.67728309435604,29.13603286767212,4.70281297135489,1.4093700945659648,7.243614100445168,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254660.1640553,1113,injected,"[12, 13]",1.8491183576056756,4.0,6.672250148790475,36.768898010253906,0.9553921222686768,35.45510482788086,39.650352321807674,29.43711985793762,4.890627473253133,38.75536995544056,32.712606743067,2.284899786623254,-0.8949823663671168,3.2754868851293786,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254669.2714424,1385,injected,"[13, 11]",2.6539446233217756,4.0,5.7300874204230805,25.075159072875977,0.5598711371421814,32.819847106933594,19.76461550498912,34.97206197986482,15.027902677119727,23.444658154596677,41.59844535206752,8.296596139103835,3.6800426496075573,6.626383372202703,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254669.4621522,1391,injected,"[19, 21]",1.8427847622853273,4.0,9.528104617653428,17.075532913208008,1.641226887702942,34.5949821472168,24.83458340997259,40.12507373720026,8.165144027577044,23.017530209692037,39.60701820729407,7.418432735499824,-1.8170532002805544,-0.5180555299061922,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254669.4921844,1392,injected,"[21, 19]",2.339545309820548,4.0,5.706968581060166,18.153833389282227,3.868056058883667,35.18354797363281,21.98166112209463,39.41642232011655,7.185481873148207,23.391376042204243,39.68770214337657,7.501562870280594,1.4097149201096144,0.27127982326001643,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254669.8323164,1402,injected,"[21, 19]",2.408450267431447,4.0,5.5611331374096284,18.075700759887695,2.8444530963897705,37.22721481323242,12.51513463716125,37.30662619014049,7.034696321766474,15.388649507992207,38.19107169391646,3.5909024982568964,2.8735148708309577,0.8844455037759715,
2026-05-08_pilot-Gromozeka_drone-LiftOff_200_track-track-002_session-001,1778254682.0418673,1769,skipped_innovation,"[9, 11]",2.4544896263507696,,17.075243353543158,39.29683303833008,1.2565312385559082,41.70177459716797,56.16469037661901,39.04860208150829,7.406588609833553,,,,,,innovation_xz_gate
