condition,sigma_cam,T_update,n_records,mean_p90,median_p90,std_p90,mean_median_err,mean_jump,baseline_p90,improvement_pct
cross_drone,0.1,0.01,30,7.48997487306812,0.33595451642784435,26.811743807034322,0.2400389166649547,0.02606650236345488,6.491605063580049,-15.379398464784021
cross_drone,0.1,0.05,30,8.360823687342736,0.4019559989535406,30.257179012711926,0.7910716536728768,0.03154228855721393,6.491605063580049,-28.794398387689867
cross_drone,0.1,0.1,30,0.505176638548516,0.4894114362751921,0.05179530466996216,0.17480204834938776,0.0,6.491605063580049,92.21800103979344
cross_drone,0.1,0.2,30,0.8069760351973766,0.7792538754007601,0.1051637537829594,0.2401405666445541,0.0,6.491605063580049,87.56892898915298
cross_drone,0.1,0.5,30,2.0694472594106395,1.9434199977063276,0.46068857744697206,0.5272449306326568,0.005603078382818964,6.491605063580049,68.12117744160237
cross_drone,0.3,0.01,30,3.9996462689821204,0.4296364250140883,19.524441140405628,0.45635072025456275,0.014058280028429283,6.491605063580049,38.38740604505661
cross_drone,0.3,0.05,30,4.5598182994761505,0.586994466429836,21.72797806537303,0.5360156753517428,0.01577825159914712,6.491605063580049,29.758229978312002
cross_drone,0.3,0.1,30,6.16949442791172,0.7103686592037406,23.835986961770327,0.39267942671344874,0.023358649638726046,6.491605063580049,4.961956750503371
cross_drone,0.3,0.2,30,1.036885264152461,0.9938190836121121,0.13822715768606428,0.33067184779910613,0.0,6.491605063580049,84.02728979971819
cross_drone,0.3,0.5,30,2.094224738252596,2.0342010706627094,0.3307737968552739,0.573416687957271,0.0038289937029181887,6.491605063580049,67.73949250237268
cross_drone,0.5,0.01,30,2.13558306916048,0.5263639195478227,8.805274654596738,0.2025503248297334,0.006197583511016347,6.491605063580049,67.10238764921522
cross_drone,0.5,0.05,30,6.212280616199889,0.7604929650645489,23.801000380912015,0.3101966559648136,0.02130670911065787,6.491605063580049,4.30285645297891
cross_drone,0.5,0.1,30,0.9719880080521567,0.9336349558248516,0.09591848983404598,0.3464091580086414,3.8804811796662786e-05,6.491605063580049,85.02700027909405
